order_id,order_date,updated_at,customer_id,product_id,product_name,category,city,quantity,unit_price,discount,payment_method,status
ORD0100000,2025-12-26 17:02:00,2025-12-26 17:19:00,CUST06882,P010,Laptop Stand,Accessories,Delhi,3,1482.29,0.2,UPI,Cancelled
ORD0100001,2026-03-18 20:59:00,2026-03-19 01:19:00,CUST08057,P008,Portable SSD 1TB,Storage,Jaipur,2,7637.03,0.1,NetBanking,Cancelled
ORD0100002,2026-03-04 13:09:00,2026-03-04 14:29:00,CUST05574,P003,Noise Cancelling Headphones,Audio,Mumbai,5,8705.91,0.0,UPI,Cancelled
ORD0100003,2026-02-06 15:58:00,2026-02-06 20:15:00,CUST04312,P010,Laptop Stand,Accessories,Ahmedabad,2,1324.63,0.0,UPI,Cancelled
ORD0100004,2026-02-05 23:05:00,2026-02-06 02:30:00,CUST01036,P010,Laptop Stand,Accessories,Delhi,1,1341.1,0.1,Card,Cancelled
ORD0100005,2026-03-29 00:45:00,2026-03-29 02:01:00,CUST05901,P001,Wireless Mouse,Accessories,Jaipur,3,-818.29,0.1,COD,Completed
ORD0100006,2025-12-26 07:31:00,2025-12-26 10:22:00,CUST08264,P001,Wireless Mouse,Accessories,Bengaluru,5,733.24,0.0,COD,Refunded
ORD0100007,2026-03-09 16:25:00,2026-03-09 16:43:00,CUST02126,P003,Noise Cancelling Headphones,Audio,Lucknow,2,7866.4,0.1,Card,Completed
ORD0100008,2026-01-09 04:13:00,2026-01-09 08:27:00,CUST02954,P008,Portable SSD 1TB,Storage,Hyderabad,5,7456.04,0.0,Wallet,Refunded
ORD0100009,2025-12-27 07:13:00,2025-12-27 09:05:00,CUST05216,P006,Webcam HD,Accessories,Chennai,2,4158.5,0.05,Wallet,Refunded
ORD0100010,2026-02-17 04:15:00,2026-02-17 06:36:00,CUST05268,P006,Webcam HD,Accessories,Hyderabad,5,4021.91,0.0,UPI,Completed
ORD0100011,2026-04-12 01:47:00,2026-04-12 02:47:00,CUST04391,P005,Smart Watch,Wearables,Ahmedabad,3,10382.19,0.2,UPI,Refunded
ORD0100012,2026-03-14 06:58:00,2026-03-14 09:12:00,CUST02180,P005,Smart Watch,Wearables,Bengaluru,3,11878.73,0.1,Wallet,Completed
ORD0100013,2026-03-17 08:04:00,2026-03-17 10:29:00,CUST04869,P007,Gaming Controller,Gaming,Hyderabad,4,2670.09,0.0,NetBanking,Cancelled
ORD0100014,2026-03-12 02:20:00,2026-03-12 03:44:00,CUST05030,P001,Wireless Mouse,Accessories,Bengaluru,3,864.87,0.1,Wallet,Completed
ORD0100015,2026-03-20 07:51:00,2026-03-20 13:43:00,CUST02474,P006,Webcam HD,Accessories,Ahmedabad,2,3821.09,0.1,COD,Cancelled
ORD0100016,2026-02-15 14:05:00,2026-02-15 15:49:00,CUST05864,P003,Noise Cancelling Headphones,Audio,Jaipur,2,6637.91,0.0,Wallet,Refunded
ORD0100017,2025-12-31 08:58:00,2025-12-31 10:07:00,CUST07929,P008,Portable SSD 1TB,Storage,Chennai,2,6522.99,0.0,NetBanking,Completed
ORD0100018,2026-03-26 18:28:00,2026-03-26 21:47:00,CUST01696,P002,Mechanical Keyboard,Accessories,Kolkata,3,2659.13,0.1,NetBanking,Completed
ORD0100019,2026-02-08 01:06:00,2026-02-08 03:04:00,CUST01639,P001,Wireless Mouse,Accessories,Ahmedabad,3,843.32,0.0,Wallet,Completed
ORD0100020,2026-02-14 01:00:00,2026-02-14 03:46:00,CUST05537,P005,Smart Watch,Wearables,Hyderabad,4,11113.34,0.0,COD,Cancelled
ORD0100021,2026-01-29 11:53:00,2026-01-29 16:15:00,CUST07249,P005,Smart Watch,Wearables,Bengaluru,2,9350.78,0.0,Card,Completed
ORD0100022,2026-01-06 21:44:00,2026-01-06 22:16:00,CUST01817,P006,Webcam HD,Accessories,Lucknow,2,3225.58,0.0,NetBanking,Completed
ORD0100023,2026-04-06 05:04:00,2026-04-06 08:09:00,CUST08552,P009,Bluetooth Speaker,Audio,Kolkata,5,5335.77,0.1,UPI,Cancelled
ORD0100024,2026-03-19 18:54:00,2026-03-19 19:06:00,CUST04814,P007,Gaming Controller,Gaming,Delhi,5,2685.53,0.2,Wallet,Refunded
ORD0100025,2026-03-03 06:19:00,2026-03-03 06:39:00,CUST01850,P004,USB-C Charger,Power,Chennai,5,1498.47,0.15,COD,Completed
ORD0100026,2026-02-02 06:57:00,2026-02-02 07:34:00,CUST04578,P008,Portable SSD 1TB,Storage,Hyderabad,2,8533.79,0.0,NetBanking,Completed
ORD0100027,2026-03-24 17:33:00,2026-03-24 18:35:00,CUST04469,P006,Webcam HD,Accessories,Bengaluru,2,3854.95,0.2,NetBanking,Completed
ORD0100028,2026-02-19 10:50:00,2026-02-19 12:59:00,CUST04122,P003,Noise Cancelling Headphones,Audio,Ahmedabad,4,6900.41,0.05,Wallet,Cancelled
ORD0100029,2026-02-07 05:01:00,2026-02-07 10:38:00,CUST05679,P001,Wireless Mouse,Accessories,Kolkata,1,956.5,0.0,COD,Completed
ORD0100030,2026-02-08 01:19:00,2026-02-08 06:45:00,CUST02973,P001,Wireless Mouse,Accessories,Hyderabad,5,970.01,0.05,UPI,Cancelled
ORD0100031,2026-01-12 06:26:00,2026-01-12 07:07:00,CUST08930,P003,Noise Cancelling Headphones,Audio,Pune,2,7970.14,0.1,NetBanking,Completed
ORD0100032,2025-12-27 01:21:00,2025-12-27 07:17:00,CUST03286,P009,Bluetooth Speaker,Audio,Bengaluru,2,4874.87,0.1,UPI,Completed
ORD0100033,2026-02-20 13:12:00,2026-02-20 17:02:00,CUST07923,P005,Smart Watch,Wearables,Kolkata,4,10471.57,0.05,COD,Completed
ORD0100034,2026-04-01 13:07:00,2026-04-01 16:28:00,CUST07549,P005,Smart Watch,Wearables,Jaipur,2,8810.46,0.05,COD,Refunded
ORD0100035,2025-12-23 15:47:00,2025-12-23 20:33:00,CUST04313,P004,USB-C Charger,Power,Kolkata,3,1498.28,0.05,NetBanking,Cancelled
ORD0100036,2026-03-28 23:52:00,2026-03-29 02:48:00,CUST02542,P003,Noise Cancelling Headphones,Audio,Delhi,5,5992.7,0.15,COD,Refunded
ORD0100037,2026-03-25 07:34:00,2026-03-25 09:13:00,CUST08743,P008,Portable SSD 1TB,Storage,Kolkata,1,7860.14,0.0,UPI,Refunded
ORD0100038,2026-01-18 05:04:00,2026-01-18 08:17:00,CUST05583,P001,Wireless Mouse,Accessories,Hyderabad,1,796.49,0.0,UPI,Completed
ORD0100039,2026-03-01 19:11:00,2026-03-01 23:33:00,CUST03650,P007,Gaming Controller,Gaming,Kolkata,4,3480.2,0.1,UPI,Completed
ORD0100040,2026-01-04 19:51:00,2026-01-04 23:58:00,CUST02207,P010,Laptop Stand,Accessories,Pune,1,1715.32,0.15,NetBanking,Completed
